bitwidth,baseline_mb,quantized_mb,savings_percent,compression_ratio,num_sequences,seq_length,num_layers,timestamp
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T21:57:33.044884
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T21:57:33.047441
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:00:15.415375
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:00:15.418460
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:02:35.197637
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:02:35.199825
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:11:07.041036
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:11:07.042663
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:15:09.814121
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:15:09.838334
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:17:41.747245
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:17:41.775130
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:29:40.414719
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:29:40.476703
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:30:13.878435
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:30:13.902254
8,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:42:14.437261
4,128.0,128.0,0.0,1.0,2,64,32,2025-08-24T22:42:14.526009
8,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:53:43.791410
4,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:53:43.899737
8,64.0,16.00244140625,74.99618530273438,3.999389741555549,1,64,32,2025-08-24T22:55:03.796949
4,64.0,16.00244140625,74.99618530273438,3.999389741555549,1,64,32,2025-08-24T22:55:03.866060
8,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:55:18.324011
4,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:55:18.459837
8,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:55:37.740859
4,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:55:37.798378
2,128.0,32.0048828125,74.99618530273438,3.999389741555549,2,64,32,2025-08-24T22:55:37.854929
8,2560.0,640.0244140625,74.9990463256836,3.999847417929919,10,256,32,2025-08-24T22:56:25.251772
4,2560.0,640.0244140625,74.9990463256836,3.999847417929919,10,256,32,2025-08-24T22:56:25.522396
8,320.0,80.00152587890625,74.9995231628418,3.9999237075098515,0.0001303984990954632,0.0001259501055756118,0.9999566674232483,0.9999427378177643,5,512,4,2025-08-25T08:47:50.129125
4,320.0,80.00152587890625,74.9995231628418,3.9999237075098515,0.0,0.0,1.0,1.0,5,512,4,2025-08-25T08:47:51.082501
2,320.0,80.00152587890625,74.9995231628418,3.9999237075098515,0.0,0.0,1.0,1.0,5,512,4,2025-08-25T08:47:51.862557
